planet_name,host_name,discovery_method,orbit_semi_major_axis,planet_radius,planet_mass,eccentricity,stellar_mass,distance,v_magnitude
TOI-1898 b,TOI-1898,Transit,0.269,9.39553231,129.0,0.485,1.2484,79.6682,7.87
TOI-1899 b,TOI-1899,Transit,0.1525,11.09689089,212.94503269,0.044,0.632,128.438,14.88
TOI-1937 A b,TOI-1937 A,Transit,0.01932,13.97759893,638.83509807,0.0,1.072,415.135,13.18
TOI-199 b,TOI-199,Transit,0.4254,9.07927437,54.03082919,0.09,0.936,102.27,10.701
TOI-1994 b,TOI-1994,Transit,0.0613,13.67495645,7024.0077947,0.341,1.86,515.603,10.514
TOI-2000 b,TOI-2000,Transit,0.04271,2.7,11.0,0.0,1.082,175.713,10.984
TOI-2000 c,TOI-2000,Transit,0.0878,8.14,81.7,0.063,1.082,175.713,10.984
TOI-201 b,TOI-201,Transit,0.3,11.298672,133.4886,0.28,1.316,113.825,9.07
TOI-2010 b,TOI-2010,Transit,0.5516,11.81426566,408.7273314,0.212,1.112,109.19,9.849
TOI-2015 b,TOI-2015,Transit,0.029322,3.309,9.2,0.0789,0.3041,47.3444,16.11
TOI-2019 b,TOI-2019,Transit,0.128,5.33275337,34.4,0.0,1.1832,198.007,10.263
TOI-2025 b,TOI-2025,Transit,0.0892,11.89272852,1144.1822652,0.394,1.199,335.985,11.599
TOI-2076 c,TOI-2076,Transit,0.142,3.69441587,55.0,0.0,0.8557,41.9091,9.139
TOI-2076 d,TOI-2076,Transit,0.199,3.43087751,29.0,0.0,0.8557,41.9091,9.139
TOI-2088 b,TOI-2088,Transit,0.472,3.6831179,37.0,0.0,0.9027,126.46,11.638
TOI-2095 b,TOI-2095,Transit,0.101,1.25,4.1,0.0,0.44,41.9176,13.19
TOI-2095 c,TOI-2095,Transit,0.137,1.33,7.4,0.0,0.44,41.9176,13.19
TOI-2107 b,TOI-2107,Transit,0.03515,13.57407563,263.79757781,0.033,0.961,236.705,12.0363
TOI-2120 b,TOI-2120,Transit,0.0377,2.122,6.8,0.32,0.211,32.1755,15.648
TOI-2128 b,TOI-2128,Transit,0.127,2.08874836,4.5,0.0,1.0251,36.578,7.22142
TOI-2134 b,TOI-2134,Transit,0.078,2.69,9.13,0.06,0.744,22.6202,8.933
TOI-2134 c,TOI-2134,Transit,0.371,7.27,41.89,0.67,0.744,22.6202,8.933
TOI-2136 b,TOI-2136,Transit,0.057,2.19,6.37,0.0,0.34,33.3631,14.32
TOI-2141 b,TOI-2141,Transit,0.133,3.05,24.0,0.21,0.94,77.682,9.46
TOI-2145 b,TOI-2145,Transit,0.111,12.41899699,1767.0,0.21,1.7169,224.731,9.07
TOI-2152 A b,TOI-2152,Transit,0.05064,14.35870428,899.45439181,0.057,1.516,303.006,11.436
TOI-2154 b,TOI-2154,Transit,0.0513,16.28664896,292.40213444,0.117,1.233,296.46,11.068
TOI-2158 b,TOI-2158,Transit,0.075,10.76062147,260.61929374,0.07,1.12,198.473,10.887
TOI-2180 b,TOI-2180,Transit,0.828,11.32107051,875.61726129,0.3683,1.111,116.685,9.162
TOI-2193 A b,TOI-2193 A,Transit,0.03319,19.83989584,298.75870258,0.0,1.082,337.064,11.976
TOI-2196 b,TOI-2196,Transit,0.02234,3.51,26.0,0.0,1.032,259.947,12.297
TOI-220 b,TOI-220,Transit,0.08911,3.03,13.8,0.032,0.825,90.7402,10.466
TOI-2202 b,TOI-2202,Transit,0.09564,11.32107051,310.83618205,0.042,0.823,235.933,13.004
TOI-2207 b,TOI-2207,Transit,0.0854,11.1529358,203.41018048,0.174,1.296,373.345,11.316
TOI-2236 b,TOI-2236,Transit,0.05009,14.36991326,502.16888306,0.0,1.343,355.59,11.6
TOI-2285 b,TOI-2285,Transit,0.1363,1.74,19.5,0.3,0.454,42.409,13.403
TOI-2295 b,TOI-2295,Transit,0.1992,16.47720163,278.09985612,0.334,1.168,126.279,9.595
TOI-2328 b,TOI-2328,Transit,0.127,9.97599282,50.85254512,0.057,0.95,231.782,12.331
TOI-2338 b,TOI-2338,Transit,0.158,11.2089807,1900.61387386,0.676,0.99,313.996,12.483
TOI-2364 b,TOI-2364,Transit,0.04871,8.60849718,71.51139158,0.0,0.954,219.614,12.234
TOI-2368 b,TOI-2368,Transit,0.05649,10.83908434,206.58846455,0.061,0.897,210.915,12.486
TOI-2373 b,TOI-2373,Transit,0.112,10.42435205,2955.8041851,0.112,1.041,508.686,13.251
TOI-2374 b,TOI-2374,Transit,0.0471,6.81,56.64,0.13,0.75,134.655,12.095
TOI-2379 b,TOI-2379,Transit,0.05263,11.72459381,1830.69162432,0.342,0.645,211.247,15.548
TOI-2384 b,TOI-2384,Transit,0.02793,11.48920522,624.85064816,0.0,0.635,191.51,15.103
TOI-2416 b,TOI-2416,Transit,0.0831,9.86390302,953.485221,0.32,1.118,557.733,13.019
TOI-2420 b,TOI-2420,Transit,0.0684,15.02003414,294.62693329,0.055,1.158,435.174,11.574
TOI-2421 b,TOI-2421,Transit,0.0543,10.36830715,105.83685953,0.0,1.131,327.927,11.419
TOI-2443 b,TOI-2443,Transit,0.105,2.363,4.8,0.301,0.642,23.9258,9.51
TOI-2447 b,TOI-2447,Transit,0.347,9.60609646,124.90656395,0.17,1.034,148.987,10.507
TOI-2458 b,TOI-2458,Transit,0.0482,2.83,13.31,0.087,1.05,112.958,9.202
TOI-2485 b,TOI-2485,Transit,0.1093,12.1393261,766.60211768,0.0341,1.163,397.953,11.935
TOI-2497 b,TOI-2497,Transit,0.1166,11.14172682,1531.93292174,0.195,1.859,285.289,9.547
TOI-2498 b,TOI-2498,Transit,0.0491,6.06,34.62,0.089,1.12,275.265,11.196
TOI-251 b,TOI-251,Transit,0.05741,2.74,317.83,0.0,1.036,99.523,9.887
TOI-2524 b,TOI-2524,Transit,0.073,11.2089807,203.41018048,0.0,1.007,438.842,12.8
TOI-2525 b,TOI-2525,Transit,0.1511,8.67575106,26.69758619,0.17,0.849,395.398,14.216
TOI-2525 c,TOI-2525,Transit,0.249,10.13291855,208.8132634,0.157,0.849,395.398,14.216
TOI-2529 b,TOI-2529,Transit,0.327,11.54525012,743.71847238,0.021,1.11,296.271,11.529
TOI-2537 b,TOI-2537,Transit,0.3715,11.25381662,415.40172795,0.364,0.771,184.986,13.236
TOI-2567 b,TOI-2567,Transit,0.0672,10.92875618,63.88350981,0.0,1.13,504.775,12.3
TOI-257 b,TOI-257,Transit,0.1528,7.16253867,43.86032017,0.0,1.407,76.9028,7.57
TOI-2570 b,TOI-2570,Transit,0.04145,13.64132951,260.61929374,0.0,1.063,361.857,12.569
